Distrito;NOME;display_name;quantidade;soma;media;desvpad popul;desvpad amostral;QTLINBUS2018;KMLINBUS/are2018;QTPONTBUS2018;QTESTMETRO2018;RENDP2010;ARE1;POP2018;DENPOP2018;DOMP2018;ESTAB2016;EMP2016;PNBRAN2010;tempo_medio; TEMP2010_5MIN ; TEMP2010_30MIN ; TEMP2010_60MIN ; TEMP2010_120MIN ; TEMP2010_121MIN ; TEMP2010_0MIN ;PDOMC2010;PDOMM2010
355030801;AGUA RASA;UberX;5179;974640;188;74,87151577;74,88597531;68;29636,3764044944;158;0;1354,8;7,12;83127;11675,14045;28991;2733;29957;0,138660358;46,935483871;0,02;0,1;0,11;0,07;0,01;0,69;0,090677366;0,685957688
355030802;ALTO DE PINHEIROS;UberX;5488;1015920;185;81,3241424;81,33896364;52;13014,3617021277;112;0;3984,34;7,52;41421;5508,111702;15579;1626;25463;0,081035322;32,4193548387;0,02;0,16;0,12;0,02;0;0,68;0,082058466;0,831078357
355030803;ANHANGUERA;UberX;25723;12139260;471;204,7973063;204,8052683;28;6886,1244019139;164;0;528,11;33,44;81269;2430,293062;26853;459;6570;0,503655626;65,2419354839;0,02;0,09;0,16;0,11;0,01;0,6;0,093898908;0,434972237
355030804;ARICANDUVA;UberX;5126;965760;188;72,42786241;72,44199468;126;45074,269005848;161;0;794,9;6,84;86501;12646,34503;28289;2017;21735;0,275880922;55;0,02;0,08;0,12;0,08;0,02;0,68;0,07551597;0,623331466
355030805;ARTUR ALVIM;UberX;4949;907860;183;74,22439156;74,23939245;89;41979,0446841294;223;1;740,13;6,49;101309;15610,01541;34627;1242;11408;0,371381888;60,2419354839;0,01;0,08;0,15;0,1;0,01;0,65;0,065449483;0,479427096
355030806;BARRA FUNDA;UberX;4183;820680;196;94,77203214;94,79469403;185;64,1494057725;116;1;2698,12;5,89;15745;2673,174873;6311;2400;85789;0,15820708;47,0967741935;0,02;0,18;0,14;0,04;0,01;0,6;0,069369202;0,645805211
355030807;BELA VISTA;UberX;1958;360060;183;76,40126131;76,4403013;122;77747,1014492754;52;2;2546,22;2,76;72614;26309,42029;33596;5488;136873;0,217852001;45,7258064516;0,03;0,24;0,14;0,04;0;0,55;0,040730207;0,499092934
355030808;BELEM;UberX;4401;898800;204;86,87012795;86,88987116;162;58689,9671052632;121;1;1319,11;6,08;48490;7975,328947;15594;2585;48285;0,251259628;42,4193548387;0,03;0,13;0,14;0,05;0;0,65;0,073410653;0,524522419
355030809;BOM RETIRO;UberX;3057;647880;211;96,78893329;96,82060506;75;26682,7751196172;67;2;933,15;4,18;38024;9096,650718;12496;4146;51946;0,318128172;33,9516129032;0,04;0,15;0,1;0,02;0,01;0,69;0,056220431;0,402081162
355030810;BRAS;UberX;2582;573060;221;92,68404967;92,7199598;131;67,7894736842;70;1;969,1;3,61;32378;8968,975069;11721;5047;51487;0,338778579;38,3870967742;0,04;0,16;0,12;0,04;0;0,64;0,068730314;0,423674029
355030811;BRASILANDIA;UberX;7556;3738240;494;208,2835843;208,3111533;109;20865,8628841608;317;0;502,19;21,15;278581;13171,67849;87089;1528;11388;0,506989404;56,7741935484;0,01;0,07;0,15;0,09;0,01;0,66;0,096391729;0,391586916
355030812;BUTANTA;UberX;9855;2402700;243;117,8736461;117,8856081;116;49324,9806051202;182;1;2105,73;12,89;53970;4186,966641;19533;2350;52770;0,1616909;47,1774193548;0,02;0,13;0,14;0,05;0,01;0,65;0,090816667;0,704206348
355030813;CACHOEIRINHA;UberX;5561;2323500;417;212,5986807;212,6369179;120;25,3853006682;251;0;688,68;13,47;145688;10815,73868;46447;1476;13311;0,433923606;48,7096774194;0,02;0,08;0,13;0,07;0,01;0,69;0,109400753;0,480016222
355030814;CAMBUCI;UberX;2825;558900;197;83,87269814;83,9023981;83;39945,0381679389;84;0;1722,16;3,93;40049;10190,58524;14122;1633;37285;0,212487821;39,6774193548;0,02;0,16;0,13;0,04;0;0,66;0,077249788;0,608004078
355030815;CAMPO BELO;UberX;6298;1180980;187;105,9228531;105,9396743;139;40871,0734463277;105;0;3231,32;8,85;64180;7251,977401;24307;3629;69268;0,122703492;44,2741935484;0,02;0,13;0,12;0,05;0,01;0,67;0,097332594;0,787760602
355030816;CAMPO GRANDE;UberX;9860;2104320;213;96,30637055;96,31613892;134;39302,9208301307;180;0;1769,23;13,01;105734;8127,132975;37678;2846;65576;0,223901795;53,8709677419;0,02;0,12;0,13;0,08;0,01;0,64;0,099225074;0,750556106
355030817;CAMPO LIMPO;UberX;9870;2171220;219;90,95307402;90,96229006;106;32790,7274180655;291;1;722,39;12,51;225585;18032,3741;74494;2103;20487;0,480261757;64,1935483871;0,01;0,09;0,12;0,11;0,02;0,65;0,10945418;0,47308215
355030818;CANGAIBA;UberX;10443;2603640;249;134,7704768;134,7833834;60;18032,2074788902;243;0;690,16;16,58;137737;8307,418577;44403;1421;11454;0,383414263;60,8064516129;0,02;0,08;0,12;0,1;0,02;0,67;0,071720258;0,525022257
