id,xmin,xmax,ymin,ymax,sumID,sumAREA_M,sumPOPULACAO,sumIPVS_V10,sumid_2,sumxmin,sumxmax,sumymin,sumymax,sumárea real,sum%area,sumPop_real,count
0,313389.36257,314389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
1,314389.36257,315389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
2,315389.36257,316389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
3,316389.36257,317389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
4,317389.36257,318389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
5,318389.36257,319389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
6,319389.36257,320389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
7,320389.36257,321389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
8,321389.36257,322389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
9,322389.36257,323389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
10,323389.36257,324389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
11,324389.36257,325389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
12,325389.36257,326389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
13,326389.36257,327389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
14,327389.36257,328389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
15,328389.36257,329389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
16,329389.36257,330389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
17,330389.36257,331389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
18,331389.36257,332389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
19,332389.36257,333389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
20,333389.36257,334389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
21,334389.36257,335389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
22,335389.36257,336389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
23,336389.36257,337389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
24,337389.36257,338389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
