id,xmin,xmax,ymin,ymax,sumid,sumid_2,sumAREA_M,sumPOPULACAO,sumareareal,sum%area,sumpop_real,count
27,340389.36257,341389.36257,7415187.56918,7416187.56918,27.00000,24.00000,9439433.76000,0.00000,196839.59717,0.02085,0.00000,1.00000
28,341389.36257,342389.36257,7415187.56918,7416187.56918,28.00000,24.00000,9439433.76000,0.00000,882160.05420,0.09345,0.00000,1.00000
29,342389.36257,343389.36257,7415187.56918,7416187.56918,29.00000,24.00000,9439433.76000,0.00000,259688.08789,0.02751,0.00000,1.00000
73,338389.36257,339389.36257,7414187.56918,7415187.56918,146.00000,47.00000,22161784.90000,0.00000,13427.58423,0.00106,0.00000,2.00000
74,339389.36257,340389.36257,7414187.56918,7415187.56918,74.00000,24.00000,9439433.76000,0.00000,231613.99121,0.02454,0.00000,1.00000
75,340389.36257,341389.36257,7414187.56918,7415187.56918,75.00000,24.00000,9439433.76000,0.00000,901382.80249,0.09549,0.00000,1.00000
76,341389.36257,342389.36257,7414187.56918,7415187.56918,76.00000,24.00000,9439433.76000,0.00000,998379.79346,0.10577,0.00000,1.00000
77,342389.36257,343389.36257,7414187.56918,7415187.56918,77.00000,24.00000,9439433.76000,0.00000,319679.55298,0.03387,0.00000,1.00000
120,337389.36257,338389.36257,7413187.56918,7414187.56918,120.00000,23.00000,12722351.14000,0.00000,322309.50928,0.02533,0.00000,1.00000
121,338389.36257,339389.36257,7413187.56918,7414187.56918,242.00000,47.00000,22161784.90000,0.00000,937794.12744,0.07549,0.00000,2.00000
122,339389.36257,340389.36257,7413187.56918,7414187.56918,244.00000,47.00000,22161784.90000,0.00000,932213.19849,0.09021,0.00000,2.00000
123,340389.36257,341389.36257,7413187.56918,7414187.56918,123.00000,24.00000,9439433.76000,0.00000,999999.99951,0.10594,0.00000,1.00000
124,341389.36257,342389.36257,7413187.56918,7414187.56918,124.00000,24.00000,9439433.76000,0.00000,726817.49268,0.07700,0.00000,1.00000
149,318389.36257,319389.36257,7412187.56918,7413187.56918,447.00000,21.00000,3123970.03000,0.00000,61229.99121,0.06331,0.00000,3.00000
150,319389.36257,320389.36257,7412187.56918,7413187.56918,150.00000,8.00000,1417358.47000,0.00000,423189.57300,0.29858,0.00000,1.00000
151,320389.36257,321389.36257,7412187.56918,7413187.56918,453.00000,555.00000,2801059.63000,20.00000,177454.20459,0.54253,0.92378,3.00000
152,321389.36257,322389.36257,7412187.56918,7413187.56918,608.00000,1122.00000,2014420.33000,791.00000,114378.34326,0.27372,46.53069,4.00000
153,322389.36257,323389.36257,7412187.56918,7413187.56918,306.00000,562.00000,496936.47000,771.00000,74228.32959,0.32534,205.92475,2.00000
166,335389.36257,336389.36257,7412187.56918,7413187.56918,166.00000,23.00000,12722351.14000,0.00000,59.83789,0.00000,0.00000,1.00000
167,336389.36257,337389.36257,7412187.56918,7413187.56918,167.00000,23.00000,12722351.14000,0.00000,632137.64600,0.04969,0.00000,1.00000
168,337389.36257,338389.36257,7412187.56918,7413187.56918,168.00000,23.00000,12722351.14000,0.00000,995041.98242,0.07821,0.00000,1.00000
169,338389.36257,339389.36257,7412187.56918,7413187.56918,845.00000,2465.00000,13708273.15000,1450.00000,1000000.00049,1.56993,304.70013,5.00000
170,339389.36257,340389.36257,7412187.56918,7413187.56918,1020.00000,2492.00000,24004224.14000,1499.00000,999999.99951,1.03266,38.29713,6.00000
171,340389.36257,341389.36257,7412187.56918,7413187.56918,171.00000,24.00000,9439433.76000,0.00000,999999.31714,0.10594,0.00000,1.00000
172,341389.36257,342389.36257,7412187.56918,7413187.56918,172.00000,24.00000,9439433.76000,0.00000,468905.04395,0.04968,0.00000,1.00000
193,314389.36257,315389.36257,7411187.56918,7412187.56918,193.00000,4.00000,6912969.36000,32.00000,8609.61646,0.00125,0.03985,1.00000
194,315389.36257,316389.36257,7411187.56918,7412187.56918,194.00000,4.00000,6912969.36000,32.00000,181057.01025,0.02619,0.83811,1.00000
196,317389.36257,318389.36257,7411187.56918,7412187.56918,196.00000,6.00000,1295782.33000,0.00000,28313.22266,0.02185,0.00000,1.00000
197,318389.36257,319389.36257,7411187.56918,7412187.56918,788.00000,555.00000,3248737.15000,0.00000,468556.85352,0.49938,0.00000,4.00000
198,319389.36257,320389.36257,7411187.56918,7412187.56918,1782.00000,4555.00000,3617262.95000,1566.00000,999999.99951,2.24831,129.24111,9.00000
199,320389.36257,321389.36257,7411187.56918,7412187.56918,3980.00000,16318.00000,3992386.96000,9123.00000,1000000.00049,10.30847,4719.50683,20.00000
200,321389.36257,322389.36257,7411187.56918,7412187.56918,2000.00000,3865.00000,4216577.29000,3727.00000,999999.99951,3.30759,184.75936,10.00000
201,322389.36257,323389.36257,7411187.56918,7412187.56918,603.00000,573.00000,2010151.95000,783.00000,833641.61108,1.23994,436.59280,3.00000
202,323389.36257,324389.36257,7411187.56918,7412187.56918,404.00000,21.00000,1793333.80000,12.00000,368412.11426,0.36966,2.57755,2.00000
214,335389.36257,336389.36257,7411187.56918,7412187.56918,214.00000,23.00000,12722351.14000,0.00000,262744.43994,0.02065,0.00000,1.00000
215,336389.36257,337389.36257,7411187.56918,7412187.56918,215.00000,23.00000,12722351.14000,0.00000,914280.81445,0.07186,0.00000,1.00000
216,337389.36257,338389.36257,7411187.56918,7412187.56918,864.00000,1844.00000,13419123.12000,212.00000,1000000.00049,0.82660,22.05770,4.00000
217,338389.36257,339389.36257,7411187.56918,7412187.56918,1736.00000,3702.00000,16625153.29000,2285.00000,999999.99951,2.30236,1088.39521,8.00000
218,339389.36257,340389.36257,7411187.56918,7412187.56918,1090.00000,1884.00000,12877691.67000,2073.00000,1000000.00000,0.81575,40.67244,5.00000
219,340389.36257,341389.36257,7411187.56918,7412187.56918,657.00000,661.00000,10478440.14000,0.00000,721278.19019,0.25777,0.00000,3.00000
240,313389.36257,314389.36257,7410187.56918,7411187.56918,1200.00000,528.00000,8050884.97000,221.00000,634295.57886,1.82289,0.98852,5.00000
241,314389.36257,315389.36257,7410187.56918,7411187.56918,241.00000,4.00000,6912969.36000,32.00000,905452.42358,0.13098,4.19132,1.00000
242,315389.36257,316389.36257,7410187.56918,7411187.56918,242.00000,4.00000,6912969.36000,32.00000,883302.62524,0.12777,4.08879,1.00000
243,316389.36257,317389.36257,7410187.56918,7411187.56918,243.00000,4.00000,6912969.36000,32.00000,687210.07080,0.09941,3.18108,1.00000
244,317389.36257,318389.36257,7410187.56918,7411187.56918,1220.00000,548.00000,8899741.60000,37.00000,774992.49121,1.73149,2.56861,5.00000
245,318389.36257,319389.36257,7410187.56918,7411187.56918,1960.00000,3190.00000,3738185.73000,1511.00000,1000000.00000,2.97107,221.77357,8.00000
246,319389.36257,320389.36257,7410187.56918,7411187.56918,5412.00000,38420.00000,3444966.99000,8529.00000,1000000.00049,13.99320,5636.53491,22.00000
247,320389.36257,321389.36257,7410187.56918,7411187.56918,5928.00000,38903.00000,2733906.41000,17417.00000,999999.99951,10.10946,7599.92837,24.00000
248,321389.36257,322389.36257,7410187.56918,7411187.56918,5952.00000,60891.00000,3485236.66000,17744.00000,1000000.00000,12.77256,10756.17202,24.00000
249,322389.36257,323389.36257,7410187.56918,7411187.56918,2490.00000,9674.00000,5423605.33000,5125.00000,1000000.00049,2.59524,1565.84092,10.00000
250,323389.36257,324389.36257,7410187.56918,7411187.56918,1250.00000,609.00000,5571154.14000,816.00000,912918.82788,1.58011,791.90175,5.00000
